Title:Planet Earth II, Rank:1 
Title:Planet Earth, Rank:2 
Title:Breaking Bad, Rank:3 
Title:Band of Brothers, Rank:4 
Title:Chernobyl, Rank:5 
Title:The Wire, Rank:6 
Title:Blue Planet II, Rank:7 
Title:Cosmos: A Spacetime Odyssey, Rank:8 
Title:Our Planet, Rank:9 
Title:Avatar: The Last Airbender, Rank:10 
Title:Cosmos, Rank:11 
Title:The Sopranos, Rank:12 
Title:Game of Thrones, Rank:13 
Title:Rick and Morty, Rank:14 
Title:The World at War, Rank:15 
Title:The Last Dance, Rank:16 
Title:Life, Rank:17 
Title:Fullmetal Alchemist: Brotherhood, Rank:18 
Title:Sherlock, Rank:19 
Title:Arcane, Rank:20 
Title:The Vietnam War, Rank:21 
Title:Scam 1992: The Harshad Mehta Story, Rank:22 
Title:The Beatles: Get Back, Rank:23 
Title:The Twilight Zone, Rank:24 
Title:The Blue Planet, Rank:25 
Title:Batman: The Animated Series, Rank:26 
Title:Human Planet, Rank:27 
Title:Firefly, Rank:28 
Title:Frozen Planet, Rank:29 
Title:Persona, Rank:30 
Title:Clarkson's Farm, Rank:31 
Title:Death Note, Rank:32 
Title:Dekalog, Rank:33 
Title:True Detective, Rank:34 
Title:Attack on Titan, Rank:35 
Title:Cowboy Bebop, Rank:36 
Title:The Civil War, Rank:37 
Title:Hunter x Hunter, Rank:38 
Title:Fargo, Rank:39 
Title:The Office, Rank:40 
Title:When They See Us, Rank:41 
Title:Africa, Rank:42 
Title:Apocalypse: The Second World War, Rank:43 
Title:Only Fools and Horses, Rank:44 
Title:TVF Pitchers, Rank:45 
Title:Last Week Tonight with John Oliver, Rank:46 
Title:Gravity Falls, Rank:47 
Title:Seinfeld, Rank:48 
Title:Das Boot, Rank:49 
Title:Nathan for You, Rank:50 
Title:Monty Python's Flying Circus, Rank:51 
Title:Friends, Rank:52 
Title:1883, Rank:53 
Title:Pride and Prejudice, Rank:54 
Title:Black Mirror, Rank:55 
Title:Twin Peaks, Rank:56 
Title:Over the Garden Wall, Rank:57 
Title:Kota Factory, Rank:58 
Title:Succession, Rank:59 
Title:Fawlty Towers, Rank:60 
Title:It's Always Sunny in Philadelphia, Rank:61 
Title:Blackadder Goes Forth, Rank:62 
Title:Better Call Saul, Rank:63 
Title:Narcos, Rank:64 
Title:Ted Lasso, Rank:65 
Title:Freaks and Geeks, Rank:66 
Title:Chappelle's Show, Rank:67 
Title:The Mandalorian, Rank:68 
Title:Peaky Blinders, Rank:69 
Title:The West Wing, Rank:70 
Title:Steins;Gate, Rank:71 
Title:Dark, Rank:72 
Title:BoJack Horseman, Rank:73 
Title:One Punch Man, Rank:74 
Title:Curb Your Enthusiasm, Rank:75 
Title:Dragon Ball Z, Rank:76 
Title:Vinland Saga, Rank:77 
Title:Rome, Rank:78 
Title:Dragon Ball Z, Rank:79 
Title:I, Claudius, Rank:80 
Title:Fleabag, Rank:81 
Title:Oz, Rank:82 
Title:Invincible, Rank:83 
Title:Leyla and Mecnun, Rank:84 
Title:Arrested Development, Rank:85 
Title:Six Feet Under, Rank:86 
Title:South Park, Rank:87 
Title:Stranger Things, Rank:88 
